host_response_time,host_response_rate,host_acceptance_rate,host_identity_verified,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month
within an hour,0.99,0.99,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,1264.96,4.62,4.86,4.48,4.62,4.9,4.52,4.33,t,2.41
within a few hours,1,0.78,t,Entire townhouse,Entire home/apt,6,1 bath,2,3,3776,4.86,4.86,4.43,5,5,4.43,4.14,f,0.85
N/A,N/A,1,t,Entire rental unit,Entire home/apt,4,1 bath,2,2,2265.6,4.75,4.75,5,4.75,4.75,4.75,4.75,t,0.57
N/A,N/A,1,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,1491.52,,,,,,,,f,
within an hour,1,1,t,Entire rental unit,Entire home/apt,4,1 bath,2,2,1982.4,4.58,4.68,4.58,4.89,4.74,4.79,4.32,f,2.2
within a day,1,0.78,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,1227.2,5,5,5,5,5,5,5,f,0.56
N/A,N/A,0.25,f,Entire condo,Entire home/apt,9,2 baths,4,4,4078.08,5,5,5,5,5,4.67,4.67,f,0.43
within an hour,1,1,t,Entire rental unit,Entire home/apt,7,2.5 baths,3,4,5626.24,4.1,4.5,4,4.4,4.2,4.8,3.7,t,1.18
within an hour,1,1,f,Entire rental unit,Entire home/apt,4,1 bath,1,2,1888,5,5,4.8,5,5,4.8,4.8,t,0.57
within a day,1,0.27,t,Entire rental unit,Entire home/apt,2,1 bath,,2,755.2,5,5,5,5,5,5,5,f,0.16
within an hour,1,0.99,t,Entire rental unit,Entire home/apt,4,1 bath,1,2,1604.8,4.8,4.8,4.8,5,5,4.8,4.8,t,0.81
within an hour,1,1,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,1189.44,4.78,4.8,4.73,4.93,4.9,4.75,4.6,t,4.69
within a few hours,1,0.34,t,Private room in rental unit,Private room,2,1 shared bath,,1,849.6,5,5,5,4.86,5,5,4.86,f,0.78
within a few hours,1,N/A,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,2832,,,,,,,,f,
within an hour,1,1,f,Private room in casa particular,Private room,1,1 shared bath,,1,887.36,4.96,4.96,5,5,4.96,4.96,4.96,f,2.91
within an hour,1,0.99,t,Entire rental unit,Entire home/apt,4,1 bath,,2,849.6,4.54,4.66,4.74,4.86,4.91,4.49,4.66,t,4.05
within a day,1,0.8,t,Private room in rental unit,Private room,2,1 shared bath,,1,1567.04,5,5,5,5,5,5,5,f,0.52
within a few hours,1,0.43,t,Entire rental unit,Entire home/apt,3,1 bath,2,1,4720,5,5,5,5,5,4,4,f,0.18
a few days or more,0.4,0.56,t,Private room in rental unit,Private room,1,1 private bath,,1,944,5,5,5,5,5,5,5,f,0.23
within a day,1,0.5,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,5664,5,4.67,5,4.67,4.33,5,4.33,f,0.39
within an hour,1,1,t,Entire rental unit,Entire home/apt,2,1 bath,,1,1340.48,4.97,4.97,5,4.97,5,4.88,4.91,f,3.68
within a few hours,1,0.59,t,Entire rental unit,Entire home/apt,4,1.5 baths,1,2,2643.2,5,5,4.75,5,4.75,4.88,4.88,f,1
N/A,N/A,1,t,Private room in casa particular,Private room,2,1 shared bath,,1,3020.8,4.5,5,5,5,5,5,5,f,0.24
N/A,N/A,1,t,Entire rental unit,Entire home/apt,4,1 bath,2,2,1642.56,5,5,5,5,5,5,5,f,0.14
within an hour,1,0.99,t,Entire rental unit,Entire home/apt,3,1 bath,1,2,2133.44,4.88,4.93,4.95,4.68,4.93,4.83,4.63,t,4.59
within a day,1,0.7,t,Entire rental unit,Entire home/apt,4,1 bath,1,2,1718.08,5,5,5,4.73,5,4.91,4.91,f,1.28
N/A,N/A,1,t,Private room in rental unit,Private room,2,1.5 shared baths,,1,2265.6,5,5,5,5,5,5,5,f,0.22
